Path,Created,Author,LastModified,LastAuthor,Type,Category,Relevance,PartOf,Status,Lines
./TEAM_DOCUMENTATION_COMPLETE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,workspace,recent,Workspace,complete,     392
./frontend/docs/PAGES_ARCHITECTURE.md,2026-01-07,Roberto H luna,2026-01-07,Roberto H luna,architecture,frontend,recent,Frontend,active,     383
./frontend/docs/PHASE_3_SUMMARY.md,2026-01-14,robertohluna,2026-01-14,robertohluna,report,frontend,recent,Frontend,complete,     434
./frontend/docs/development/FRONTEND.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,documentation,frontend,recent,Frontend,active,     935
./frontend/docs/INSTALL_TEST_DEPS.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Frontend,active,     113
./frontend/docs/features/buttons/BUTTON_SYSTEM.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Frontend,active,    1046
./frontend/docs/features/FRONTEND_NOTIFICATIONS_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Notifications,active,     489
./frontend/docs/features/desktop/3D_DESKTOP_APP_INTEGRATION.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Integrations,active,     332
./frontend/docs/features/app-store/APP_STORE_SYSTEM.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Frontend,active,    1069
./frontend/docs/features/gesture-system/3D_DESKTOP_GESTURE_SYSTEM.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,3D Desktop,active,     687
./frontend/docs/features/gesture-system/GESTURE_SYSTEM_ARCHITECTURE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Gesture System,active,     868
./frontend/docs/features/gesture-system/MOTION_TRACKING_SYSTEM.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Gesture System,active,     326
./frontend/docs/features/gesture-system/TESTING.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,test-report,frontend,recent,Gesture System,active,     187
./frontend/docs/features/gesture-system/GESTURE_IMPROVEMENTS_ROADMAP.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Gesture System,active,     801
./frontend/docs/features/gesture-system/MEDIAPIPE_OPTIMIZATION.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Gesture System,active,     341
./frontend/docs/features/onboarding/README_ONBOARDING.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Onboarding,active,     339
./frontend/docs/features/onboarding/ONBOARDING_SYSTEM.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Onboarding,active,    1981
./frontend/docs/features/onboarding/ONBOARDING_QUICK_REFERENCE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Onboarding,active,     382
./frontend/docs/features/onboarding/QUICK_REFERENCE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,implementation,frontend,recent,Onboarding,active,     389
./frontend/docs/team-review/README.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,analysis,frontend,recent,Documentation,active,      79
./frontend/docs/team-review/RECENT_FRONTEND_CHANGES.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,analysis,frontend,recent,Documentation,active,     564
./frontend/docs/setup/GETTING_STARTED_OSA.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,guide,frontend,recent,Frontend,active,     533
./frontend/docs/PHASE_3_AUDIT_AND_NEXT_STEPS.md,2026-01-14,robertohluna,2026-01-14,robertohluna,report,frontend,recent,Frontend,active,     529
./frontend/docs/README.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,readme,frontend,recent,Frontend,active,     570
./frontend/docs/components/FORM_PATTERNS_INDEX.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,documentation,frontend,recent,Frontend,active,     457
./frontend/docs/components/FORM_COMPONENTS_USAGE_GUIDE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,guide,frontend,recent,Frontend,active,     726
./frontend/docs/architecture/3D_DESKTOP_ARCHITECTURE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,3D Desktop,active,     334
./frontend/docs/architecture/IOS_TO_DESKTOP_ARCHITECTURE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,Frontend,active,    1495
./frontend/docs/architecture/3D_DESKTOP_FEATURE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,architecture,frontend,recent,3D Desktop,active,     144
./frontend/README.md,2025-12-11,Roberto H luna,2025-12-11,Roberto H luna,readme,frontend,historical,Frontend,reference,      38
./frontend/DOCS_HERE.md,2026-01-19,Roberto H luna,2026-01-19,Roberto H luna,documentation,frontend,recent,Frontend,active,      37
./frontend/CLAUDE.md,2025-12-21,Roberto H luna,2025-12-21,Roberto H luna,documentation,frontend,active,Frontend,active,     930
./frontend/src/lib/components/chat/ROLE_BASED_UI.md,2026-01-06,PAMF2,2026-01-06,PAMF2,documentation,frontend,recent,Frontend,active,     447
./frontend/src/lib/components/projects/USAGE_EXAMPLE.md,2026-01-06,PAMF2,2026-01-06,PAMF2,documentation,frontend,recent,Frontend,active,     382
./frontend/src/lib/components/workspace/WORKSPACE_CREATE_IMPLEMENTATION.md,2026-01-06,PAMF2,2026-01-06,PAMF2,implementation,frontend,recent,Workspace,active,     331
./frontend/src/lib/components/thinking/TemplateEditor.example.md,2026-01-11,PAMF2,2026-01-11,PAMF2,template,frontend,recent,Frontend,active,     214
./frontend/src/lib/components/osa/BuildProgress.md,2026-01-11,OSOSerious,2026-01-11,OSOSerious,documentation,frontend,recent,Frontend,active,     340
./frontend/src/lib/api/README.md,2025-12-19,Javaris0629,2025-12-19,Javaris0629,api-guide,frontend,historical,API,reference,       0
./frontend/src/lib/onboarding/SVELTE_ONBOARDING_DOCUMENTATION.md,2026-01-13,Javaris0629,2026-01-13,Javaris0629,documentation,frontend,recent,Onboarding,active,     934
./frontend/src/routes/window/osa/[id]/README.md,2026-01-11,OSOSerious,2026-01-11,OSOSerious,readme,frontend,recent,Frontend,active,     234
./articletouse/papers/arxiv/2507.13334/notes.md,2026-01-08,PAMF2,2026-01-08,PAMF2,documentation,general,recent,General,active,     161
./articletouse/papers/arxiv/2510.04618/notes.md,2026-01-08,PAMF2,2026-01-08,PAMF2,documentation,general,recent,General,active,     286
./articletouse/README.md,2026-01-08,PAMF2,2026-01-08,PAMF2,readme,general,recent,General,active,     343
